Date,Price,Open,High,Low,Vol.,Change %
6-Aug-21,1.4011,1.3859,1.4243,1.3622,272.05M,1.10%
5-Aug-21,1.3859,1.3759,1.3972,1.339,259.90M,0.72%
4-Aug-21,1.3759,1.3648,1.393,1.3237,325.17M,0.81%
3-Aug-21,1.3648,1.3086,1.3822,1.2626,-,4.29%
2-Aug-21,1.3086,1.3143,1.3485,1.2961,231.98M,-0.58%
1-Aug-21,1.3163,1.3178,1.3868,1.2996,328.16M,-0.02%
31-Jul-21,1.3166,1.3104,1.3321,1.2896,222.18M,0.56%
30-Jul-21,1.3093,1.2837,1.3172,1.2491,280.49M,2.03%
29-Jul-21,1.2832,1.2859,1.2986,1.2588,95.20M,-0.21%
28-Jul-21,1.2859,1.2804,1.3169,1.2586,340.48M,0.43%
27-Jul-21,1.2805,1.2552,1.3151,1.215,418.43M,2.01%
26-Jul-21,1.2552,1.2282,1.3974,1.2226,596.83M,2.20%
25-Jul-21,1.2281,1.216,1.2361,1.1912,181.71M,1.08%
24-Jul-21,1.215,1.2053,1.2237,1.1978,221.74M,0.80%
23-Jul-21,1.2054,1.1856,1.2067,1.147,91.89M,1.65%
22-Jul-21,1.1859,1.1697,1.2051,1.1503,298.36M,1.38%
21-Jul-21,1.1697,1.0545,1.2211,1.0372,464.72M,10.92%
